Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/17/2026 9:00,2026-04-17T01:00:00.000Z,60,59.6,59.6,2930,423,423,35.9,37.2,48.7,37,54,169,167,1,39.8,68.3,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/17/2026 8:00,2026-04-17T00:00:00.000Z,60,48.2,48.2,2296,412,412,35.8,37.1,49.3,38,56,150,153,1,32.4,58.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 7:00,2026-04-16T23:00:00.000Z,60,50.5,50.5,2491,419,419,32.7,33.5,42.1,44,63,160,161,1,34.4,60.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 6:00,2026-04-16T22:00:00.000Z,60,58.9,58.9,3108,431,431,29.6,29.9,34.3,48,68,261,240,2,40.9,68.8,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 5:00,2026-04-16T21:00:00.000Z,60,67.3,67.3,3460,434,434,28.6,28.7,32.1,50,70,461,343,2,45.7,74.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 4:00,2026-04-16T20:00:00.000Z,60,53.9,53.9,2791,432,432,28.8,28.9,32.5,49,69,326,247,3,36.7,64.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 3:00,2026-04-16T19:00:00.000Z,60,50.6,50.6,2611,431,431,29.3,29.5,33.2,47,67,522,317,2,34.6,62.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 2:00,2026-04-16T18:00:00.000Z,60,51.3,51.3,2654,432,432,29.4,29.6,33.5,47,67,698,410,2,34.7,63,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 1:00,2026-04-16T17:00:00.000Z,60,48,48,2357,430,430,29.8,30.1,34.4,47,66,651,394,2,32.6,58.6,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/17/2026 0:00,2026-04-16T16:00:00.000Z,60,43.8,43.8,2056,419,419,30.4,30.8,36.3,48,67,203,193,1,30,52.3,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 23:00,2026-04-16T15:00:00.000Z,59,40.8,40.8,1810,408,408,31,31.5,38.4,48,68,134,139,1,27.9,48.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 22:00,2026-04-16T14:00:00.000Z,60,45.8,45.8,2264,407,407,31.3,31.9,38.8,47,66,122,127,1,31.8,55.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 21:00,2026-04-16T13:00:00.000Z,60,46.1,46.1,2241,411,411,31.5,32,39.8,48,68,105,110,1,32.1,54.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,FALSE,4/16/2026 20:00,2026-04-16T12:00:00.000Z,59,34.3,34.3,1406,405,405,31.6,32.2,38.4,44,63,62,63,2,23.7,38.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 19:00,2026-04-16T11:00:00.000Z,55,36,36,1492,412,412,31.9,32.6,39.3,44,62,96,100,1,24.6,41.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 18:00,2026-04-16T10:00:00.000Z,60,39.2,39.2,1652,409,409,32.7,33.5,40.9,42,60,141,143,1,26.3,45.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 17:00,2026-04-16T09:00:00.000Z,60,38.9,38.9,1676,416,416,33.7,34.6,42.5,39,56,109,112,1,26.5,45.3,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 16:00,2026-04-16T08:00:00.000Z,60,42.3,42.3,2026,409,409,35,36.2,46.8,39,56,77,80,1,29.3,49.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 15:00,2026-04-16T07:00:00.000Z,60,34.7,34.7,1408,410,410,36.7,38.2,49.3,34,50,59,61,1,23.9,39.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 14:00,2026-04-16T06:00:00.000Z,60,33.1,33.1,1303,411,411,37,38.6,47.7,30,45,36,34,1,22.9,36.3,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 13:00,2026-04-16T05:00:00.000Z,60,35,35,1456,413,413,37.1,38.7,48.8,31,47,37,36,1,24.1,39.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 12:00,2026-04-16T04:00:00.000Z,60,35.9,35.9,1483,417,417,37,38.5,50,34,50,39,38,1,24.6,41.1,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 11:00,2026-04-16T03:00:00.000Z,60,40.7,40.7,1766,419,419,37,38.6,51.4,35,52,69,73,1,27.8,47.9,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 10:00,2026-04-16T02:00:00.000Z,60,52.5,52.5,2709,420,420,38,39.8,53.8,34,49,119,125,1,36.2,63.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 9:00,2026-04-16T01:00:00.000Z,60,49.9,49.9,2415,412,412,36.5,38,49.4,35,51,153,150,1,33.6,60.3,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,4/16/2026 8:00,2026-04-16T00:00:00.000Z,59,47.2,47.2,2245,412,412,35.7,37,47,36,52,178,177,1,31.8,57.3,,,,,,,,,,,,,,,,,,,,
