Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 17:00,2026-02-10T09:00:00.000Z,60,5.8,4.4,396,412,412,28.3,28.3,31.1,49,69,171,160,1,2.6,7.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 16:00,2026-02-10T08:00:00.000Z,60,11.3,7.4,633,415,415,28.6,28.7,32.2,51,71,65,62,1,6.5,14.4,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 15:00,2026-02-10T07:00:00.000Z,60,22.2,13.1,944,425,425,28.7,28.8,32.6,51,72,102,101,1,13.5,25.6,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 14:00,2026-02-10T06:00:00.000Z,58,21.4,12.6,895,428,428,28.9,29,33,51,72,124,128,1,12.5,24.6,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 13:00,2026-02-10T05:00:00.000Z,60,30.3,18.1,1280,432,432,28.5,28.6,32.1,51,71,104,106,1,20.9,34.4,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 12:00,2026-02-10T04:00:00.000Z,56,38.1,25.6,1736,427,427,28.8,28.9,32.2,49,69,65,55,1,26.5,46,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 11:00,2026-02-10T03:00:00.000Z,58,37.6,25.1,1680,429,429,28.4,28.5,31.4,49,68,90,90,1,25.9,45.5,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 10:00,2026-02-10T02:00:00.000Z,60,35.4,22.6,1520,442,442,28.4,28.5,31.5,50,70,35,32,1,24.1,43,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 9:00,2026-02-10T01:00:00.000Z,60,31.2,18.7,1320,445,445,29.3,29.5,33.5,48,68,87,63,1,22,36,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 8:00,2026-02-10T00:00:00.000Z,60,30,17.3,1248,435,435,26.8,26.5,27.8,53,74,24,19,1,21.4,34.7,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/10/2026 7:00,2026-02-09T23:00:00.000Z,60,41.6,29.2,2156,446,446,26.2,25.8,26.4,54,75,96,98,1,29.6,51.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/10/2026 6:00,2026-02-09T22:00:00.000Z,60,42.3,29.4,2158,448,448,24.8,24.2,24.6,58,80,99,104,2,29.9,52.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/10/2026 5:00,2026-02-09T21:00:00.000Z,5,73.9,56.3,4447,456,456,21.1,19.8,19.7,70,96,80,82,1,53.6,85.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/9/2026 15:00,2026-02-09T07:00:00.000Z,27,0,0.1,107,415,415,28.7,28.8,31.3,45,64,60,62,1,0,0.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/9/2026 14:00,2026-02-09T06:00:00.000Z,59,0,0.1,119,415,415,29.2,29.3,32,44,62,47,47,1,0,0.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/9/2026 13:00,2026-02-09T05:00:00.000Z,53,1.6,1.5,217,420,420,29.3,29.5,32.3,44,62,62,64,1,1,2.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/9/2026 12:00,2026-02-09T04:00:00.000Z,60,0.8,1.1,196,419,419,29,29.2,31.9,44,63,85,88,1,0.4,1.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/9/2026 11:00,2026-02-09T03:00:00.000Z,25,2.6,2.4,287,423,423,27.3,27.1,28.8,49,69,86,91,1,0.9,3.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/6/2026 13:00,2026-02-06T05:00:00.000Z,6,9.4,6.7,566,438,438,29.4,29.5,33,46,65,41,41,1,5,12.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/6/2026 12:00,2026-02-06T04:00:00.000Z,35,8.8,6.8,538,415,415,28.8,28.9,31.9,47,66,35,33,1,4.7,10.7,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/6/2026 11:00,2026-02-06T03:00:00.000Z,51,32,22.8,1430,422,422,28.7,28.8,31.8,47,67,59,60,1,18.7,39.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/6/2026 10:00,2026-02-06T02:00:00.000Z,46,38.2,26.9,1788,439,439,29,29.1,32.3,47,67,73,77,1,25.8,47.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/6/2026 9:00,2026-02-06T01:00:00.000Z,49,45.3,34.2,2288,442,442,27.9,27.8,30.3,50,70,94,99,1,30.9,57,,,,,,,,,,,,,,,,,,,,
