Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/5/2026 11:00,2026-01-05T03:00:00.000Z,60,5.5,5.5,371,414,414,30.4,30.4,31.3,48,48,176,168,1,2.5,5.7,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/5/2026 10:00,2026-01-05T02:00:00.000Z,60,21.8,21.8,807,420,420,29.8,29.8,30.7,49,49,287,239,2,13.3,23,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/5/2026 9:00,2026-01-05T01:00:00.000Z,60,21.5,21.5,755,424,424,28.2,28.2,28.9,52,52,336,271,2,11,22.6,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/5/2026 8:00,2026-01-05T00:00:00.000Z,60,15.5,15.5,600,423,423,27,27,27.6,53,53,119,124,2,7.2,16.4,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 7:00,2026-01-04T23:00:00.000Z,60,21.9,21.9,747,428,428,26.4,26.4,26.5,56,56,159,161,2,10.8,23.5,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 6:00,2026-01-04T22:00:00.000Z,49,15.3,15.3,596,433,433,26.4,26.4,26.7,56,56,239,219,2,7.3,16.7,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 5:00,2026-01-04T21:00:00.000Z,52,8.9,8.9,475,432,432,26.6,26.6,27.4,57,57,651,396,2,4.1,9.6,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 4:00,2026-01-04T20:00:00.000Z,60,2,2,228,422,422,26.7,26.7,27.5,56,56,155,145,2,0.3,2.3,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 3:00,2026-01-04T19:00:00.000Z,60,0,0,80,415,415,26.6,26.6,27.4,56,56,72,75,1,0,0,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 2:00,2026-01-04T18:00:00.000Z,60,0,0,104,412,412,26.5,26.5,26.7,56,56,43,43,1,0,0,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 1:00,2026-01-04T17:00:00.000Z,60,0,0,82,412,412,26.5,26.5,26.7,56,56,39,38,1,0,0,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/5/2026 0:00,2026-01-04T16:00:00.000Z,60,0,0,73,413,413,26.5,26.5,26.9,56,56,38,37,1,0,0,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/4/2026 23:00,2026-01-04T15:00:00.000Z,60,0.6,0.6,145,414,414,26.6,26.6,27.1,56,56,47,47,1,0.1,0.7,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/4/2026 22:00,2026-01-04T14:00:00.000Z,60,0.4,0.4,142,415,415,26.5,26.5,26.7,55,55,35,33,1,0.1,0.6,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/4/2026 21:00,2026-01-04T13:00:00.000Z,60,1.1,1.1,186,415,415,26.5,26.5,26.8,55,55,42,41,1,0.5,1.4,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/4/2026 20:00,2026-01-04T12:00:00.000Z,60,0.7,0.7,167,416,416,26.7,26.7,27.4,55,55,55,54,1,0.1,0.8,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/4/2026 19:00,2026-01-04T11:00:00.000Z,60,2.3,2.3,237,417,417,26.8,26.8,27.5,54,54,83,87,1,0.5,2.6,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/4/2026 18:00,2026-01-04T10:00:00.000Z,60,3.4,3.4,272,418,418,26.9,26.9,27.6,54,54,163,161,1,0.8,3.7,,,,,,,,,,,,,,,,,,,,
