Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/25/2025 13:00,2025-12-25T05:00:00.000Z,60,43.7,43.7,2109,583,583,32.9,33.7,42.7,45,63,116,122,1,29.2,53.3,,,,,,,,,,,,,,,,,,,,,2025-12-25 13:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/25/2025 14:00,2025-12-25T06:00:00.000Z,60,33.9,35.0,1551,481,481,33.5,34.4,44.2,43,62,75,80,1,22.8,39.6,,,,,,,,,,,,,,,,,,,,,2025-12-25 14:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/25/2025 15:00,2025-12-25T07:00:00.000Z,60,12.0,24.6,649,580,580,32.9,33.8,43.7,46,65,92,98,1,6.2,13.5,,,,,,,,,,,,,,,,,,,,,2025-12-25 15:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/25/2025 16:00,2025-12-25T08:00:00.000Z,60,15.5,25.0,754,623,623,32.7,33.5,44.5,48,68,90,96,1,8.3,16.9,,,,,,,,,,,,,,,,,,,,,2025-12-25 16:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/25/2025 17:00,2025-12-25T09:00:00.000Z,60,24.6,24.6,1044,643,643,32.6,33.4,44.4,49,69,158,158,1,15.9,25.8,,,,,,,,,,,,,,,,,,,,,2025-12-25 17:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/25/2025 18:00,2025-12-25T10:00:00.000Z,60,35.9,35.9,1660,654,654,32.4,33.2,44.0,50,70,150,155,1,24.8,41.7,,,,,,,,,,,,,,,,,,,,,2025-12-25 18:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/25/2025 19:00,2025-12-25T11:00:00.000Z,59,40.6,40.6,2000,643,643,32.1,32.8,43.4,51,71,197,194,1,27.8,48.3,,,,,,,,,,,,,,,,,,,,,2025-12-25 19:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/25/2025 20:00,2025-12-25T12:00:00.000Z,60,37.6,37.6,1765,614,614,31.9,32.5,42.4,51,71,116,122,1,25.5,44.8,,,,,,,,,,,,,,,,,,,,,2025-12-25 20:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/25/2025 21:00,2025-12-25T13:00:00.000Z,59,45.5,45.5,2326,632,632,31.8,32.5,42.0,50,70,1644,441,1,30.4,55.8,,,,,,,,,,,,,,,,,,,,,2025-12-25 21:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/25/2025 22:00,2025-12-25T14:00:00.000Z,59,39.1,39.1,1825,626,626,31.8,32.4,41.7,50,70,1308,460,1,26.6,46.9,,,,,,,,,,,,,,,,,,,,,2025-12-25 22:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/25/2025 23:00,2025-12-25T15:00:00.000Z,59,40.9,40.9,1964,587,587,31.6,32.2,40.9,50,70,1821,496,1,27.6,49.2,,,,,,,,,,,,,,,,,,,,,2025-12-25 23:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 0:00,2025-12-25T16:00:00.000Z,59,29.2,29.2,1230,554,554,31.4,32.0,40.5,50,70,1161,459,1,19.8,32.0,,,,,,,,,,,,,,,,,,,,,2025-12-26 00:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 1:00,2025-12-25T17:00:00.000Z,60,32.8,32.8,1444,560,560,31.2,31.7,39.5,50,70,412,317,1,22.9,37.5,,,,,,,,,,,,,,,,,,,,,2025-12-26 01:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 2:00,2025-12-25T18:00:00.000Z,60,27.9,27.9,1138,557,557,31.1,31.6,39.2,49,70,248,206,1,19.4,29.9,,,,,,,,,,,,,,,,,,,,,2025-12-26 02:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 3:00,2025-12-25T19:00:00.000Z,60,17.6,26.1,753,541,541,30.9,31.4,38.4,49,69,68,72,1,8.8,19.7,,,,,,,,,,,,,,,,,,,,,2025-12-26 03:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 4:00,2025-12-25T20:00:00.000Z,60,15.1,24.3,682,531,531,30.8,31.3,38.1,49,69,49,50,1,6.9,17.0,,,,,,,,,,,,,,,,,,,,,2025-12-26 04:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 5:00,2025-12-25T21:00:00.000Z,60,21.3,21.8,896,546,546,30.7,31.2,37.8,49,69,51,53,2,11.9,22.5,,,,,,,,,,,,,,,,,,,,,2025-12-26 05:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 6:00,2025-12-25T22:00:00.000Z,59,22.0,22.5,926,563,563,30.6,31.0,37.5,50,70,57,59,1,13.0,23.7,,,,,,,,,,,,,,,,,,,,,2025-12-26 06:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/26/2025 7:00,2025-12-25T23:00:00.000Z,60,23.5,23.5,976,595,595,30.6,31.0,37.6,50,70,66,69,2,15.0,24.7,,,,,,,,,,,,,,,,,,,,,2025-12-26 07:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 8:00,2025-12-26T00:00:00.000Z,60,26.5,26.5,1119,634,634,31.0,31.5,39.0,50,70,73,77,2,19.0,28.1,,,,,,,,,,,,,,,,,,,,,2025-12-26 08:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 9:00,2025-12-26T01:00:00.000Z,60,24.7,28.0,1030,496,496,31.4,32.0,39.0,47,66,41,40,2,15.3,26.6,,,,,,,,,,,,,,,,,,,,,2025-12-26 09:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 10:00,2025-12-26T02:00:00.000Z,60,61.8,62.3,3351,552,552,31.9,32.6,40.5,46,66,81,85,1,41.8,67.2,,,,,,,,,,,,,,,,,,,,,2025-12-26 10:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 11:00,2025-12-26T03:00:00.000Z,60,23.9,26.8,1007,446,446,32.7,33.5,41.8,43,62,51,52,1,15.8,25.2,,,,,,,,,,,,,,,,,,,,,2025-12-26 11:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 12:00,2025-12-26T04:00:00.000Z,60,27.7,29.5,1226,426,426,32.9,33.8,42.1,43,61,40,39,1,18.5,31.0,,,,,,,,,,,,,,,,,,,,,2025-12-26 12:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 13:00,2025-12-26T05:00:00.000Z,60,40.2,40.2,1822,442,442,32.9,33.7,42.4,44,62,280,136,2,26.8,48.3,,,,,,,,,,,,,,,,,,,,,2025-12-26 13:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 14:00,2025-12-26T06:00:00.000Z,60,21.0,25.6,954,466,466,32.8,33.7,42.0,43,62,372,228,1,13.3,23.6,,,,,,,,,,,,,,,,,,,,,2025-12-26 14:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 15:00,2025-12-26T07:00:00.000Z,60,12.5,22.1,627,457,457,32.8,33.6,41.6,43,61,90,93,1,6.4,13.6,,,,,,,,,,,,,,,,,,,,,2025-12-26 15:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/26/2025 16:00,2025-12-26T08:00:00.000Z,60,6.4,17.6,456,431,431,32.5,33.3,40.4,42,60,39,37,1,3.3,6.9,,,,,,,,,,,,,,,,,,,,,2025-12-26 16:00:00+08:00
