Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/26/2026 22:00,2026-01-26T14:00:00.000Z,23,25.3,14.1,1005.0,413.0,413.0,27.1,26.9,29.6,57.0,80.0,1026.0,461.0,1.0,17.1,28.0,,,,,,,,,,,,,,,,,,,,,2026-01-26 22:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/27/2026 1:00,2026-01-26T17:00:00.000Z,60,4.5,2.5,399.0,416.0,416.0,25.4,24.9,25.6,65.0,89.0,106.0,108.0,1.0,2.0,5.1,,,,,,,,,,,,,,,,,,,,,2026-01-27 01:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/27/2026 2:00,2026-01-26T18:00:00.000Z,60,5.6,3.4,460.0,415.0,415.0,26.6,26.3,28.0,61.0,84.0,346.0,257.0,1.0,3.2,6.5,,,,,,,,,,,,,,,,,,,,,2026-01-27 02:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/27/2026 3:00,2026-01-26T19:00:00.000Z,60,6.2,4.3,468.0,412.0,412.0,26.4,26.0,26.9,61.0,85.0,148.0,138.0,1.0,3.1,7.5,,,,,,,,,,,,,,,,,,,,,2026-01-27 03:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/27/2026 4:00,2026-01-26T20:00:00.000Z,60,8.2,5.3,578.0,413.0,413.0,26.3,26.0,26.9,62.0,85.0,45.0,44.0,1.0,5.1,9.4,,,,,,,,,,,,,,,,,,,,,2026-01-27 04:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/27/2026 5:00,2026-01-26T21:00:00.000Z,60,5.2,3.2,439.0,411.0,411.0,26.3,26.0,26.9,62.0,85.0,121.0,114.0,1.0,2.7,6.2,,,,,,,,,,,,,,,,,,,,,2026-01-27 05:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/27/2026 6:00,2026-01-26T22:00:00.000Z,60,7.8,4.6,549.0,406.0,406.0,26.1,25.7,26.6,64.0,88.0,107.0,109.0,1.0,4.8,9.2,,,,,,,,,,,,,,,,,,,,,2026-01-27 06:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/27/2026 7:00,2026-01-26T23:00:00.000Z,59,7.6,4.4,529.0,403.0,403.0,26.5,26.2,27.6,62.0,85.0,29.0,25.0,1.0,4.4,8.8,,,,,,,,,,,,,,,,,,,,,2026-01-27 07:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/27/2026 8:00,2026-01-27T00:00:00.000Z,20,14.6,8.3,745.0,403.0,403.0,27.0,26.8,29.3,59.0,82.0,31.0,28.0,1.0,8.8,17.0,,,,,,,,,,,,,,,,,,,,,2026-01-27 08:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/29/2026 14:00,2026-01-29T06:00:00.000Z,20,0.4,1.4,202.0,407.0,407.0,28.3,28.3,30.5,46.0,65.0,102.0,102.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,2026-01-29 14:00:00+08:00
