"id","location_key","timestamp_utc","pm25","temperature_c","humidity_pct","pm1","pm10","co2","tvoc","has_pm1","has_pm10","has_co2","has_tvoc","source","raw_payload","inserted_at"
"267704","openaq:1845518","2023-11-16 20:00:00+00",NULL,"29.5",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267705","openaq:1845518","2023-11-16 21:00:00+00",NULL,"29.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267706","openaq:1845518","2023-11-16 22:00:00+00",NULL,"29.100000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267707","openaq:1845518","2023-11-16 23:00:00+00",NULL,"29.100000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267708","openaq:1845518","2023-11-17 01:00:00+00",NULL,"29.3",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267709","openaq:1845518","2023-11-17 02:00:00+00",NULL,"30.600000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267710","openaq:1845518","2023-11-17 03:00:00+00",NULL,"30.600000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267711","openaq:1845518","2023-11-17 04:00:00+00",NULL,"31",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267712","openaq:1845518","2023-11-17 05:00:00+00",NULL,"31",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267713","openaq:1845518","2023-11-17 07:00:00+00",NULL,"31.3",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267714","openaq:1845518","2023-11-17 08:00:00+00",NULL,"31.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267715","openaq:1845518","2023-11-17 09:00:00+00",NULL,"31",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267716","openaq:1845518","2023-11-17 10:00:00+00",NULL,"30.3",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267717","openaq:1845518","2023-11-17 11:00:00+00",NULL,"30.600000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267718","openaq:1845518","2023-11-17 13:00:00+00",NULL,"29.399999999999995",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267719","openaq:1845518","2023-11-17 14:00:00+00",NULL,"29.3",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267720","openaq:1845518","2023-11-17 15:00:00+00",NULL,"29.100000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267721","openaq:1845518","2023-11-17 16:00:00+00",NULL,"29.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267722","openaq:1845518","2023-11-17 17:00:00+00",NULL,"29.3",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267723","openaq:1845518","2023-11-17 18:00:00+00",NULL,"28.899999999999995",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267724","openaq:1845518","2023-11-17 19:00:00+00",NULL,"28.7",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267725","openaq:1845518","2023-11-17 20:00:00+00",NULL,"28.399999999999995",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267726","openaq:1845518","2023-11-17 21:00:00+00",NULL,"28.3",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267727","openaq:1845518","2023-11-17 22:00:00+00",NULL,"28.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267728","openaq:1845518","2023-11-17 23:00:00+00",NULL,"28.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267729","openaq:1845518","2023-11-18 00:00:00+00",NULL,"29.100000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267730","openaq:1845518","2023-11-18 01:00:00+00",NULL,"30",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267731","openaq:1845518","2023-11-18 02:00:00+00",NULL,"30.8",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267732","openaq:1845518","2023-11-18 03:00:00+00",NULL,"31.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267733","openaq:1845518","2023-11-18 04:00:00+00",NULL,"31.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267734","openaq:1845518","2023-11-18 05:00:00+00",NULL,"30.899999999999995",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
