"location_key","source","external_id","name","locality","country_iso","owner_name","provider_name","is_monitor","is_mobile","latitude","longitude","geom","created_at","updated_at"
"openaq:2692433","openaq","2692433","Soi Rimthang Rotfai 3","NaN","TH","Unknown Person","AirGradient",False,False,13.723917563386962,100.4896320971784,"0101000020E6100000001DDD21561F5940787EA752A5722B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692436","openaq","2692436","Soi Naradhiwas Rajanagarindra 17/1","NaN","TH","Unknown Person","AirGradient",False,False,13.714227217771464,100.53463637224243,"0101000020E61000002282797B37225940A77B9C30AF6D2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692437","openaq","2692437","Nana Nue Pier","NaN","TH","Unknown Person","AirGradient",False,False,13.74828616518107,100.55400303589226,"0101000020E6100000B04226C97423594000013F5D1F7F2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692438","openaq","2692438","Soi Wong Sawang 3","NaN","TH","Unknown Person","AirGradient",False,False,13.818829640186134,100.5170517172806,"0101000020E6100000E40316601721594096307BA33DA32B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692439","openaq","2692439","Wanglang Rd.","NaN","TH","Unknown Person","AirGradient",False,False,13.759764,100.474672,"0101000020E6100000EC14AB06611E5940365B79C9FF842B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692642","openaq","2692642","Suriya Thep Alley","NaN","TH","Unknown Person","AirGradient",False,False,13.749383457371344,100.47691024942468,"0101000020E6100000FF1991B2851E59408C254330AF7F2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692643","openaq","2692643","Tang Trong Chit Alley","NaN","TH","Unknown Person","AirGradient",False,False,13.768026699364972,100.46533225829832,"0101000020E610000091CAF300C81D59406B74A8CB3A892B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692644","openaq","2692644","Kiak Kai Intersection","NaN","TH","Unknown Person","AirGradient",False,False,13.79695026631216,100.5222724774432,"0101000020E61000000B8E8AE96C215940CDB284DD09982B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2692645","openaq","2692645","Vibhavadi Rangsit 11 Alley Lane 10","NaN","TH","Unknown Person","AirGradient",False,False,13.824551234939227,100.55028307691722,"0101000020E6100000B6B982D6372359407BE157942BA62B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2694254","openaq","2694254","Soi Kheha Pattana 1","NaN","TH","Unknown Person","AirGradient",False,False,13.709940984188846,100.57602189955097,"0101000020E61000007A16F58ADD245940BF5C7A627D6B2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2811595","openaq","2811595","โรงเรียนบ้านสันดาบ","NaN","TH","Meechai Bamboo Schools","AirGradient",False,False,13.538714910765675,100.34699792942607,"0101000020E61000008AAACD36351659405736D770D2132B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2812750","openaq","2812750","Demo Unit 1","NaN","PH","Clarity","Clarity",False,False,14.58594,121.02932,"0101000020E61000009947FE60E0415E4024D6E253002C2D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:2848810","openaq","2848810","International School Bangkok - Nonthaburi ","NaN","TH","ISB","AirGradient",False,False,13.8929,100.5258,"0101000020E6100000280F0BB5A6215940613255302AC92B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:2909413","openaq","2909413","Soi Bumrungsin ","NaN","TH","M Cross","AirGradient",False,False,13.4054598,100.9875579,"0101000020E610000003DA0C26343F594076AF496D98CF2A40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3015285","openaq","3015285","Ortigas","NaN","PH","Clarity","Clarity",False,False,14.58853,121.05822,"0101000020E610000048FE60E0B9435E40056EDDCD532D2D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3019320","openaq","3019320","Rangsit - Nakhon Nayok 25","NaN","TH","Wit","AirGradient",False,False,13.990582062342105,100.63521933513957,"0101000020E6100000868DFF6EA7285940F38673922DFB2B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3027756","openaq","3027756","NASA GSFC Rutgers Calib. N12","NaN","PH","Clarity","Clarity",False,False,14.63525,121.07784,"0101000020E610000085949F54FB445E406891ED7C3F452D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3038744","openaq","3038744","Ocean Park","NaN","SG","TBH","AirGradient",False,False,1.3094745,103.9178515,"0101000020E610000069C53714BEFA59409F2287889BF3F43F","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3040714","openaq","3040714","Midwood","NaN","SG","Lawliet","AirGradient",False,False,1.3641,103.7637,"0101000020E610000022FDF675E0F05940DE9387855AD3F53F","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:3090636","openaq","3090636","Uno Solutions","NaN","TH","Unknown Person","AirGradient",False,False,13.8498819,100.638635,"0101000020E61000002EC55565DF285940B8EC6BB823B32B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
